matchday,team,opponent,xW,xD,xL,exp_pts,pts,played
12,Le Mans,Lille,0.30322585515268763,0.2821318461249271,0.4146422987223854,1.19180941158299,0,0
12,Lille,Le Mans,0.4146422987223854,0.2821318461249271,0.30322585515268763,1.5260587422920833,0,0
12,Nice,Troyes,0.49702074496774545,0.2875358883312643,0.2154433667009902,1.7785981232345005,0,0
12,Troyes,Nice,0.2154433667009902,0.2875358883312643,0.49702074496774545,0.933865988434235,0,0
12,Le Havre,Strasbourg,0.3367187945410151,0.34127343556362005,0.3220077698953649,1.3514298191866654,0,0
12,Strasbourg,Le Havre,0.3220077698953649,0.34127343556362005,0.3367187945410151,1.3072967452497146,0,0
12,Paris SG,Lorient,0.5535596607189602,0.30191999697232996,0.1445203423087097,1.9625989791292104,0,0
12,Lorient,Paris SG,0.1445203423087097,0.30191999697232996,0.5535596607189602,0.735481023898459,0,0
12,Auxerre,Marseille,0.3628587352711558,0.31012590933819356,0.3270153553906506,1.398702115151661,0,0
12,Marseille,Auxerre,0.3270153553906506,0.31012590933819356,0.3628587352711558,1.2911719755101454,0,0
12,Toulouse,Rennes,0.30888535092665936,0.2852040076727295,0.405910641400611,1.2118600604527077,0,0
12,Rennes,Toulouse,0.405910641400611,0.2852040076727295,0.30888535092665936,1.5029359318745625,0,0
12,Lyon,Monaco,0.3966426721033297,0.2845753469964045,0.3187819809002657,1.4745033633063935,0,0
12,Monaco,Lyon,0.3187819809002657,0.2845753469964045,0.3966426721033297,1.2409212896972017,0,0
13,Troyes,Lyon,0.30328666373478264,0.27734495225990985,0.4193683840053075,1.1872049434642578,0,0
13,Lyon,Troyes,0.4193683840053075,0.27734495225990985,0.30328666373478264,1.5354501042758324,0,0
13,Monaco,Angers,0.5803889941738561,0.25996912601530164,0.15964187981084213,2.00113610853687,0,0
13,Angers,Monaco,0.15964187981084213,0.25996912601530164,0.5803889941738561,0.7388947654478281,0,0
13,Lens,Le Havre,0.7116423868718896,0.1756210499346893,0.11273656319342104,2.3105482105503583,0,0
13,Le Havre,Lens,0.11273656319342104,0.1756210499346893,0.7116423868718896,0.5138307395149524,0,0
13,Lille,Auxerre,0.6125873800547866,0.23498783700381967,0.15242478294139364,2.0727499771681797,0,0
13,Auxerre,Lille,0.15242478294139364,0.23498783700381967,0.6125873800547866,0.6922621858280006,0,0
13,Marseille,Nice,0.5590791981435891,0.26054807813063097,0.18037272372577992,1.937785672561398,0,0
13,Nice,Marseille,0.18037272372577992,0.26054807813063097,0.5590791981435891,0.8016662493079707,0,0
13,Rennes,Brest,0.5493633303149627,0.24970364891775207,0.20093302076728534,1.89779363986264,0,0
13,Brest,Rennes,0.20093302076728534,0.24970364891775207,0.5493633303149627,0.8525027112196081,0,0
13,Toulouse,Paris SG,0.21291408458890926,0.31222499731337094,0.47486091809771974,0.9509672510800987,0,0
13,Paris SG,Toulouse,0.47486091809771974,0.31222499731337094,0.21291408458890926,1.7368077516065301,0,0
13,Strasbourg,Lorient,0.5261630402620642,0.31615551190610286,0.15768144783183283,1.8946446326922952,0,0
13,Lorient,Strasbourg,0.15768144783183283,0.31615551190610286,0.5261630402620642,0.7891998554016013,0,0
13,Paris FC,Le Mans,0.5066542538427192,0.2950170647538712,0.1983286814034096,1.814979826282029,0,0
13,Le Mans,Paris FC,0.1983286814034096,0.2950170647538712,0.5066542538427192,0.8900031089641001,0,0
14,Nice,Lens,0.30151328002498423,0.2827514092443842,0.4157353107306316,1.1872912493193368,0,0
14,Lens,Nice,0.4157353107306316,0.2827514092443842,0.30151328002498423,1.5299573414362788,0,0
14,Paris SG,Paris FC,0.46780241780227005,0.3552257535279503,0.17697182866977962,1.7586330069347607,0,0
14,Paris FC,Paris SG,0.17697182866977962,0.3552257535279503,0.46780241780227005,0.8861412395372892,0,0
14,Angers,Strasbourg,0.34748925565207217,0.3355003378983534,0.31701040644957446,1.37796810485457,0,0
14,Strasbourg,Angers,0.31701040644957446,0.3355003378983534,0.34748925565207217,1.2865315572470768,0,0
14,Brest,Troyes,0.4692583141926513,0.2912367300324812,0.2395049557748676,1.699011672610435,0,0
14,Troyes,Brest,0.2395049557748676,0.2912367300324812,0.4692583141926513,1.0097515973570839,0,0
14,Le Havre,Le Mans,0.42953660289818185,0.3307400129967156,0.23972338410510247,1.6193498216912614,0,0
14,Le Mans,Le Havre,0.23972338410510247,0.3307400129967156,0.42953660289818185,1.0499101653120229,0,0
14,Rennes,Monaco,0.3947219761762834,0.2818504087157559,0.32342761510796075,1.466016337244606,0,0
14,Monaco,Rennes,0.32342761510796075,0.2818504087157559,0.3947219761762834,1.2521332540396382,0,0
14,Lorient,Lille,0.32506423583092486,0.3027213454214276,0.3722144187476475,1.2779140529142023,0,0
14,Lille,Lorient,0.3722144187476475,0.3027213454214276,0.32506423583092486,1.4193646016643702,0,0
14,Auxerre,Toulouse,0.4499488241749343,0.31020444819519605,0.23984672762986958,1.660050920719999,0,0
14,Toulouse,Auxerre,0.23984672762986958,0.31020444819519605,0.4499488241749343,1.0297446310848049,0,0
14,Lyon,Marseille,0.4685049785344622,0.28190481392518496,0.24959020754035285,1.6874197495285717,0,0
14,Marseille,Lyon,0.24959020754035285,0.28190481392518496,0.4685049785344622,1.0306754365462436,0,0
15,Le Mans,Lyon,0.31915271203198275,0.27143424373078345,0.4094130442372338,1.2288923798267317,0,0
15,Lyon,Le Mans,0.4094130442372338,0.27143424373078345,0.31915271203198275,1.499673376442485,0,0
15,Brest,Marseille,0.3635450703960789,0.3170477091048274,0.31940722049909365,1.407682920293064,0,0
15,Marseille,Brest,0.31940722049909365,0.3170477091048274,0.3635450703960789,1.2752693706021083,0,0
15,Troyes,Rennes,0.3033425839780119,0.27956558867153836,0.41709182735044964,1.1895933406055739,0,0
15,Rennes,Troyes,0.41709182735044964,0.27956558867153836,0.3033425839780119,1.5308410707228872,0,0
15,Toulouse,Angers,0.48254766753302897,0.29586455431137887,0.22158777815559214,1.7435075569104659,0,0
15,Angers,Toulouse,0.22158777815559214,0.29586455431137887,0.48254766753302897,0.9606278887781552,0,0
15,Monaco,Nice,0.602423338880854,0.23608339039445045,0.16149327072469558,2.0433534070370123,0,0
15,Nice,Monaco,0.16149327072469558,0.23608339039445045,0.602423338880854,0.7205632025685372,0,0
